count|employer_name|employer_address1|employer_city|employer_state
10|ABHAY SOLUTIONS INC|75 EXECUTIVE DRIVE|AURORA|IL
10|ARGYLL INFO TECH INC|75 EXECUTIVE DRIVE|AURORA|IL
10|BITSOFT INTERNATIONAL INC|75 EXECUTIVE DRIVE|AURORA|IL
10|BROADWAY SOFTWARE LLC|75 EXECUTIVE DRIVE|AURORA|IL
10|HEPTAWARE TECHNOLOGIES INC|75 EXECUTIVE DRIVE|AURORA|IL
10|INTERNATIONAL BUSINESS TECHNOLOGIES INC|75 EXECUTIVE DRIVE|AURORA|IL
10|LARES IT SOLUTIONS INC|75 EXECUTIVE DRIVE|AURORA|IL
10|MULTIVISION INC|75 EXECUTIVE DRIVE|AURORA|IL
10|OLOOP LLC|75 EXECUTIVE DRIVE|AURORA|IL
10|SM LOGICS INC|75 EXECUTIVE DRIVE|AURORA|IL
9|ASPIRE SYSTEMS CONSULTING INC|1200 HARGER ROAD|OAK BROOK|IL
9|ASPIRE SYSTEMS DIGITAL INC (FORMERLY RAPID VALUE SOLUTIONS INC)|1200 HARGER ROAD|OAK BROOK|IL
9|ASPIRE SYSTEMS DIGITAL INC (FORMERLY RAPID VALUE SOLUTIONS INC)|1200 HARGER ROAD|OAKBROOK|IL
9|ASPIRE SYSTEMS DIGITAL INC(FORMERLY RAPID VALUE SOLUTIONS INC)|1200 HARGER ROAD|OAK BROOK|IL
9|ASPIRE SYSTEMS DIGITAL TRANSFORMATION INC|1200 HARGER ROAD|OAK BROOK|IL
9|ASPIRE SYSTEMS DIGITAL TRANSFORMATION INC|1200 HARGER ROAD|OAKBROOK|IL
9|ASPIRE SYSTEMS DIGITAL TRANSFORMATION INC(FORMERLY ASPIRE SYSTEMS CONSULTING INC)|1200 HARGER ROAD|OAKBROOK|IL
9|ASPIRE SYSTEMS INC|1200 HARGER ROAD|OAK BROOK|IL
9|ASPIRE SYSTEMS INC|1200 HARGER ROAD|OAKBROOK|IL
8|AHAVA SERVICES LLC|4320 WINFIELD ROAD|WARRENVILLE|IL
8|FAXIANIT INC|4320 WINFIELD ROAD|WARRENVILLE|IL
8|HGS CX TECHNOLOGIES INC|4320 WINFIELD ROAD|WARRENVILLE|IL
8|MAGIKMINDS INC|4320 WINFIELD ROAD|WARRENVILLE|IL
8|NINE BOARDS LLC|4320 WINFIELD ROAD|WARRENVILLE|IL
8|SYSTEMDOMAIN INC|4320 WINFIELD ROAD|WARRENVILLE|IL
8|TEKLINK INTERNATIONAL INC|4320 WINFIELD ROAD|WARRENVILLE|IL
8|TEKLINK INTERNATIONAL LLC|4320 WINFIELD ROAD|WARRENVILLE|IL
7|AONSOFT INTERNATIONAL INC|1600 GOLF ROAD|ROLLING MEADOWS|IL
7|BIJJAM INFORMATION TECHNOLOGIES INC|1750 E GOLF ROAD|SCHAUMBURG|IL
7|BLACKBUCK INSIGHTS LLC|1750 E GOLF ROAD|SCHAUMBURG|IL
7|CLOUDFORCE TECHNOLOGIES LLC|1750 E GOLF ROAD|SCHAUMBURG|IL
7|DATAEDGE INC|650 E DEVON AVE|ITASCA|IL
7|ENSPIREA LLC|1600 GOLF ROAD|ROLLING MEADOWS|IL
7|GLENYSYS TECHNOLOGIES INC|75 EXECUTIVE DR|AURORA|IL
7|HEPTAWARE TECHNOLOGIES INC|75 EXECUTIVE DR|AURORA|IL
7|INFOMN LLC|1600 GOLF ROAD|ROLLING MEADOWS|IL
7|INTERNATIONAL BUSINESS TECHNOLOGIES INC|75 EXECUTIVE DR|AURORA|IL
7|INVICKTUS INC|650 E DEVON AVE|ITASCA|IL
7|PRORSUM TECHNOLOGIES INC|650 E DEVON AVE|ITASCA|IL
7|PSQUARE TECHNOLOGIES LLC|75 EXECUTIVE DR|AURORA|IL
7|QUBITFY LLC|75 EXECUTIVE DR|AURORA|IL
7|ROBOT INSIGHT TECHNOLOGIES|1600 GOLF ROAD|ROLLING MEADOWS|IL
7|SELECT MINDS LLC|1750 E GOLF ROAD|SCHAUMBURG|IL
7|SIERRA CNSULTING INC|650 E DEVON AVE|ITASCA|IL
7|SIERRA CONSULTING INC|650 E DEVON AVE|ITASCA|IL
7|SIERRE CONSULTING INC|650 E DEVON AVE|ITASCA|IL
7|SIRITEK INC|1600 GOLF ROAD|ROLLING MEADOWS|IL
7|SMART TECHLINK SOLUTIONS INC|1600 GOLF ROAD|ROLLING MEADOWS|IL
7|SOFTTUNE TECHNOLOGIES INC|650 E DEVON AVE|ITASCA|IL
7|STAFF IT SOLUTIONS INC|1600 GOLF ROAD|ROLLING MEADOWS|IL
7|UNITED FORTUNE IT SOLUTIONS|75 EXECUTIVE DR|AURORA|IL
7|VARTECH SYSTEMS INC|1750 E GOLF ROAD|SCHAUMBURG|IL
7|VOLTO CONSULTING & SERVICES LLC|1750 E GOLF ROAD|SCHAUMBURG|IL
7|VOLTO CONSULTING AND SERVICES LLC|1750 E GOLF ROAD|SCHAUMBURG|IL
7|WHITE OAK IT SOLUTIONS LLC|75 EXECUTIVE DR|AURORA|IL
5|AKNISH TECHNOLOGIES CORPORATION|3333 WARRENVILLE ROAD|LISLE|IL
5|ARGYLL SERVICES INC|3333 WARRENVILLE ROAD|LISLE|IL
5|AVEROSOFT INC|1801 HICKS ROAD|ROLLING MEADOWS|IL
